,tweets,likes,time,source
1,"@KetoGraveller @NetZeroWatch 8m people displaced by floods in Pakistan for a start. The worst fires and Hurricane damage recorded in the US. Catastrophic cyclones across Asia. Worst floods ever in Germany. Worst drought in Europe ever last summer, Fires and floods in Australia...are you blind ?",0,2022-11-26 16:39:39+00:00,Twitter for Android
2,"Moving on in 2022, We’re having an energy crisis, a food crisis, a finance crisis, a debt crisis – and over and above we have a climate impacts crisis. Floods in Pakistan, Nigeria, forest fires in Europe, hurricanes in the US. Climate change isn’t giving us space to breathe",2,2022-11-26 16:30:50+00:00,Twitter Web App
13,Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/5ickFZ9hbg,0,2022-11-26 15:58:20+00:00,Twitter for iPhone
21,"@rimshahrehman How come floods affected Pakistan economy, i never understood.",0,2022-11-26 15:41:12+00:00,Twitter for Android
22,"#Pakistan Army Thief Gen Bajwa wife wealth multiplied from Zero to PKR 2.2 Bn in 6 years whereas Paki economy drowned with the floods begging for IMF loans. #JagoKashmir to the reality of fake #MadinaKiRiyasat in #Pakistan. 
Source link
https://t.co/qOwg47tg5u https://t.co/w9jcXiVzj8",0,2022-11-26 15:35:31+00:00,Twitter for Android
26,"Pakistan seeks billions of dollars in new loans after floods: Monetary Instances 
News Link: https://t.co/WkFgL0WqmS
#pakever #latestnews #news #currentnews #newspaper #newsupdate #dailynews #worldnews #newspapers #newsfeed #newsoftheday #localnews #newstoday #newsite #news...",0,2022-11-26 15:25:07+00:00,Twitter Web App
31,"✍️ “The situation is dire. Without women’s participation and leadership, we are failing to provide flood-affected women with services.” | Writes @MenaalMunshey https://t.co/hnIAczc8Bh",2,2022-11-26 15:10:00+00:00,Semrush Social Media Tool
32,@poiThePoi @PeterZeihan Not sure that’s completely true Australia and Pakistan had massive floods and China had a massive drought this year,2,2022-11-26 15:09:27+00:00,Twitter for iPhone
33,Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/Y3ZX7mzidd,1,2022-11-26 15:01:18+00:00,Twitter for iPhone
38,@TarekFatah Makes sense. As much as Pakistan refusing Indian aid (and Bangladeshi) during the floods.,0,2022-11-26 14:40:16+00:00,Twitter for Android
39,"never came back and now, due to the recent floods which destroyed crops, businesses and educational infrastructure all across Pakistan, millions more are out of school. We believe that free and quality education for all is a fundamental human right and will-
#backtoschool",5,2022-11-26 14:30:08+00:00,Twitter for iPhone
43,"@Joker__huyaar Thieves will run away after eating the aid of flood victims
#Floods #aid
#Turkey #pakistan

#ActualWarInPakistan
#PTILongMarch
#حقیقی_آزادی_لانگ_مارچ
#ملتے_ہیں_پنڈی_میں
#چلو_چلو_پنڈی_چلو
#یوم_انقلاب_26_نومبر
https://t.co/DavLMy10Hm",0,2022-11-26 14:00:14+00:00,Twitter for Android
50,"Pakistan still needs your attention! 

100 days after the devastating #floods in Pakistan, #Muslimhands and government institutions are continuously working for the rehabilitation of flood victims in #Pakistan.

 #flooddamage #naturaldisasters #prayforpakistan #floodpakistan2022 https://t.co/WwqURRESeZ",2,2022-11-26 13:15:17+00:00,Twitter for iPhone
53,"The Pakistani government is divided over the export of sugar, after floods destroyed 40% of sugarcane crops. Pakistan's food ministry has said no. Read the full story here: https://t.co/RC1mOMifAe

#SugarCane #PakistanFloods
#Ragus #PureSugars #PureSugarManufacture",2,2022-11-26 13:00:51+00:00,Hootsuite Inc.
55,"Fatih Foundation performed flood relief operations during the recent floods in Pakistan. We distributed Rations and Tents to the flood-affected people.
#floodrelief #fatihfoundation #pakistan #blanketdistribution https://t.co/2F9B7PDIxM",1,2022-11-26 13:00:30+00:00,Twitter Web App
63,#navycapital : Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/olyvoAzmQt,0,2022-11-26 12:36:12+00:00,IFTTT
64,Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/fjinnXiEuo,0,2022-11-26 12:32:49+00:00,IFTTT
71,Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/4jpAjCxpyr,0,2022-11-26 12:19:55+00:00,IFTTT
74,Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/pSgaosrsaD,0,2022-11-26 12:12:48+00:00,IFTTT
77,Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/mwDc8PrcjQ,0,2022-11-26 12:08:29+00:00,IFTTT
81,"3 DAYS TO GO! ⏰ 
In July 2022 massive floods hit Pakistan. Our aim for Tuesday 29th November is to raise funds to rebuild the lives of those affected by the Pakistan floods.  

 The link for donating is: https://t.co/yErp7wrszF 

#givingtuesday #tuesday #launchgood https://t.co/P3oxFlfCtV",1,2022-11-26 12:01:25+00:00,LaterMedia
83,Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/gnfxyUSbQ8,61,2022-11-26 12:00:06+00:00,SocialFlow
84,"Development spending falls 45pc in July-October
Amid rising interest payments and disruptions caused by super floods, Pakistan’s development expenditure has contracted almost 45 per cent to less than Rs99 billion in the fi...
#news #pakistan #investify https://t.co/b7t4B0EyVr",1,2022-11-26 12:00:00+00:00,investify-app-twitter
90,"HERESY!

Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/XkDlpGCOTD via @WSJ",0,2022-11-26 11:53:45+00:00,Twitter Web App
92,"#Balochistan had the highest percentage of its population affected by the catastrophic floods that swamped significant portions of Pakistan last summer, at around 75%.  1/3  

@FawazBaloch7

https://t.co/Sh1smOLbVo",0,2022-11-26 11:48:38+00:00,Twitter for Android
95,"🚨 Pakistan 𝗘𝗠𝗘𝗥𝗚𝗘𝗡𝗖𝗬 Floods Appeal

Alhamdulillah, the #OneUmmah team is on the ground and they are working tirelessly to bring life-saving supplies to those in need.

𝐃𝐎𝐍𝐀𝐓𝐄 𝐍𝐎𝐖 to help your brothers and sisters in need 😔
https://t.co/iPVIegWjHv https://t.co/JOvBoaQHFh",23,2022-11-26 11:35:40+00:00,LaterMedia
96,Devastating floods in Pakistan galvanized support for a U.N. fund to help countries harmed by climate change. But scientists say it’s hard to link single weather events to human-induced global warming. https://t.co/IjaqU38lK6,0,2022-11-26 11:32:22+00:00,Twitter for iPhone
97,"The Economic Cooperation Organization (ECO) Trade and Development Bank will provide financial assistance worth €150 million to Pakistan, announced Information Minister Marriyum Aurangzeb on Saturday.

Read more: https://t.co/inmVCJ8h34

#ECO #türkiye #Floods https://t.co/QLjoEQeF4F",1,2022-11-26 11:29:55+00:00,Twitter Web App
100,"Amid rising interest payments and disruptions caused by super floods, Pakistan’s development expenditure has contracted almost 45 per cent to less than Rs99 billion in the first four months (July-October) of the current fiscal year as the government’s overall expenditures https://t.co/CKhjdYyGeP",0,2022-11-26 11:18:14+00:00,Twitter for iPhone
103,"Check out my run on @Strava
#Aid #Refugees #Asylum @DECAppeal 
#Famine #Malnutrition #Afghanistan #Crisis #Humanity #Ukraine #Floods #Pakistan https://t.co/XRFTEF5IDA",0,2022-11-26 10:53:05+00:00,Twitter for iPhone
106,"#PakistanFloods have particularly impacted the poorest &amp; most vulnerable districts.

@UNDP &amp; @IslamicReliefPK are working together for livelihoods recovery &amp; reconstruction of community infrastructure.

More👉https://t.co/TURvjF5ooV

#ResilientPakistan @knutostby @AsifSherazi17 https://t.co/LoG8e28hih",17,2022-11-26 10:45:09+00:00,Twitter Web App
108,"@_FaridKhan Tends to happen when the entire country is focussed on appointment of a General rather than the millions that have sufferd due to floods.

meh... another day, another drama in #Pakistan",1,2022-11-26 10:37:21+00:00,Twitter Web App
109,"@AajKamranKhan @BBhuttoZardari You forgot some important high points
1. Murder of journalists exposing his best performance in Sindh
2. Brutalities of Sindh police on women and common folk.
3. His home district has the highest HIV rate in Pakistan 
4. Lack/delay of response to catastrophic floods
And many more",0,2022-11-26 10:29:52+00:00,Twitter for Android
112,✍️ “Many of the issues we encountered in Pakistan were symptomatic of widespread and longstanding governance failures in the areas of gender equality and healthcare.” | Writes @MenaalMunshey https://t.co/hnIAczc8Bh,6,2022-11-26 10:09:00+00:00,Semrush Social Media Tool
119,"Following the devastating floods in Pakistan earlier this year, many #EarthObservation providers took part in disaster assessment efforts to assist the Asian Development Bank: https://t.co/nWDSFUSGjs https://t.co/xTXjgjC7vG",20,2022-11-26 10:00:02+00:00,Twitter Web App
120,@myasirhanif @235kpzkCI42uKUb @BDUTT @Ahmad_Noorani @usmanmanzoor @themojostory I don't know the name of Indian Army Chief and believe me minimum 90% people of India will be like me but Pakistan is different. When 1/3 of their nation facing difficulty  due to unprecedented floods what is the main issue and what they discuss??,0,2022-11-26 09:59:38+00:00,Twitter for Android
122,"On pillars and let people of Pakistan suffer and enjoy with poverty , Floods etc  because this will speed up@process of accountability of Common man that what is the reason that you are poor and what is the reasons that now a days children’s rape &amp; murder ratio increased 2/2",1,2022-11-26 09:57:28+00:00,Twitter for iPhone
124,"Pakistan Red Crescent assistance efforts began in June and will continue to help meet the needs of those affected by the floods. As of November 2022, @PRC_official with partner @ifrc has installed water filtration plants in different districts of Sindh. 

#WaterTreatmentPlant https://t.co/zbywKnLD2J",6,2022-11-26 09:54:47+00:00,Twitter Web App
127,@aamnaisani please explain how Sajal turned patriotic overnight. So many things happened in Pakistan. She never mentioned the floods or any other issue. Sajal laughed on a pooja and now pretending to be decent. Anyways she could have asked her pr team to be more polite.,0,2022-11-26 09:43:24+00:00,Twitter for iPhone
136,"19-year-old @askayeshashaikh recalls how floods struck her hometown in Pakistan at night, upending the lives of 33 million people, half of them children. Today 10 million girls and boys still need immediate humanitarian assistance. Time is running out.

https://t.co/J3DnBZ3dRI",13,2022-11-26 09:27:25+00:00,Twitter for iPhone
138,"@AajKamranKhan @BBhuttoZardari You are such a kiss a$$.... how about floods and him visiting and staying outside of Pakistan during one of the hardest hit floods. How about all the fascist poltiical victimization in Sindh via Police? How about calling generals duffer? 

You really need to grow some courage!",0,2022-11-26 09:25:02+00:00,Twitter for Android
153,"First pandemic, now floods: Millions of dropouts raise fears of an education crisis in Pakistan - https://t.co/fZGt6DTqTX #News https://t.co/5QAN5uoT4t 
#News #BreakingNews",0,2022-11-26 08:43:23+00:00,IFTTT
158,"@SShabbarZaidi 3/3
- weak demand for Pak exports in its major trade destinations (mainly Europe and US)
- large trade, budget deficit, devastating floods which increased the need for further imports and a lot other factors as reasons for high rates in Pakistan.",0,2022-11-26 08:21:12+00:00,Twitter for Android
162,🔊 @G7 @EUCouncil @g20org: The devastating floods in Pakistan show why climate finance is needed NOW. The promised $100 billion is two years behind schedule. People are suffering – when will you be stepping up? https://t.co/zrYWLXqozT,0,2022-11-26 08:17:48+00:00,Global Citizen Mobile App
163,@DrSueTariq @KDSindhi No one addressed this aspect of human sufferings during recent floods in Pakistan,1,2022-11-26 08:17:42+00:00,Twitter for iPhone
165,Some people express their fake patriotism by being disrespectful with  their senior. Ask her to recite the National Anthem without any assistance she would be blanked. She has never spoken on any issue related to Pakistan recently she did not bother to speak about floods.,2,2022-11-26 08:17:18+00:00,Twitter for iPhone
167,"Development spending falls 45pc in July-October

Amid rising interest payments and disruptions caused by super floods, Pakistan’s development expenditure has contracted almost 45 per cent to less than Rs99 billion in the first four months (July-October) ...1/2",0,2022-11-26 08:11:37+00:00,Twitter Web App
169,@AyazB9 @adnanactor @Iamsajalali Wanted to spotlight a folk artist who got 50 million hits on his song kana yari then lost his home in the floods . And Shehzad roy who has done so much for Pakistan with his Zindagi Trust. Why is Wahab Bugti's Baloch accent/instrument considered unofficial? Its the true Pakistan!,2,2022-11-26 08:08:21+00:00,Twitter Web App
171,"First pandemic, now floods: Millions of dropouts raise fears of an education crisis in Pakistan https://t.co/q9yG2vscIq",4,2022-11-26 08:01:04+00:00,Story posting
188,"#happeningnow

Role of Police in Addressing Gender -based Violence Cases During Floods in Pakistan at @CentreLJP today.

@ZahrahV @DrSueTariq Shahla Qureshi @KDSindhi @unwomen_pak https://t.co/RHB0AFloWf",15,2022-11-26 07:24:20+00:00,Twitter for Android
196,"Despite severe floods and efforts to maintain budgetary restraint, #Pakistan has been struggling with continuous high inflation, with the consumer price index (CPI) recording a 26.6 per cent year-over-year increase in October. https://t.co/sYIEZvimNx",0,2022-11-26 06:52:27+00:00,Twitter for Android
197,"School's out: Pakistan floods raise education fears for millions. @sightmagazine  #Pakistanfloods #educationinPakistan #UNICEF

https://t.co/QfzOUHxQP3",0,2022-11-26 06:52:21+00:00,Twitter Web App
