,CLEAN_tweets,likes
1155,a failure that will see more people in poor countries die see floods in pakistan see drought in somalia meanwhile rich countries get aggressive trying to stop refugees migrants from entering their countries,2
1258,a lesson from pakistan why we need to create sustainable food systems that can withstand a turbulent future https t co xlmpkru,1
460,a pleasure to speak to masters students in humanities and global health on inequality in pakistan the floods in pakistan and how the sdgs are disconnected with reality thank you and for the opportunity https t co tjbjozmtmv,10
93,absolutely who in pakistan can take an expensive vacation to enjoy in europe while the country flounders economically and is ravaged by floods,0
410,actually it was a of that region of pakistan not a of pakistan and it floods there quite regularly,5
281,adb has stressed that there is an imperative requirement to upgrade pakistan s approach toward drf and how risk preserving procedures are inadequate to deal with the damages linked with calamities like floods and earthquakes learn more at sdc,4
467,additionally as fouzia yasmin notes the floods have endangered community assistance and medical care infrastructure state investments in resilience and disaster preparedness are therefore necessary but how competent are pakistan s political figures,0
119,administers vaccines anywhere in an area of pakistan affected by recent floods gave an oral polio vaccine to a child passing by on a motorbike as part of a polio immunization campaign https t co dfeguhlugj,1
887,ah yes pakistan who have nuclear and space programmes who did so much deforestation that it allowed massive floods and who housed people on flood plains of course they are asking for our money it will help sunak and hunt to turn us in to a rd world country,2
1173,ah yes that same american government sending money to help in the floods of pakistan so which is it shitty people or is just about money the republican party came into existence to get rid of slavery and has been for small government and personal responsibility like huh,0
1234,all the millions probably billions of charity donations and foreign aid has built a nuclear arsenal and a space program and uck the people like you say india pakistan has had floods every year and neither country has built flood defences to sort it out,1
879,also a heart-wrenching incident was reported sep from sindh pakistan where an year-old hindu girl was gang-raped amid the devastating floods the suspects scratched her entire face and also gauged out her eyes,0
627,also what will we do next year when the world has no food since east africa europe north america have all experienced a drought period affecting yields and logistics add floods in pakistan war in ukraine and sanction on russia etc is gok stocking maize from north rift,0
1130,amazing how floods in pakistan are attributed to climate change but the worst november snowfall in new york states history is just weather,16
170,an important read from on pakistan s floods https t co ttokxv bf,74
1255,an important week in highlighting floods recovery in pakistan with the appgpakistan from pakistanfloods climateemergency collaboration british government mp yasmin https t co suhqowuwbe,1
1440,and join hands for the early recovery rehabilitation efforts for the floods affected people thanks to both teams for making it happen https t co cl arga,33
898,and please remember pakistan has only existed for around years so those screaming worst in history are looking at a very short period of time they need to look at what was happening to the area long before partition https t co savszoulkp,0
1101,and they let developers build anywhere causing more floods truly object to us giving pakistan money,0
965,angry monsoon here is my recent metaphorical and expressionistic portrait of angelina jolie on her good will visit to pakistan to show solidarity to the victims of torrential rain and horrible floods due to the climatic change of our ailing planet https t co z v ep q,1
540,anita is years old and has already seen the worst floods on record in pakistan she and million other children in the country are standing on the frontlines of the climatecrisis looking to the world for climateaction v cop https t co gguptkw,39
1205,another bold faced lie that the ap and the lat s continues to spread shameful of pakistan flooded a few days after the bbc made the big lie they reported of the country had been affected by floods w much of this short term https t co jmzqojjp k https t co djnxazzqrb,1
94,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co ck xhtdjsh,0
298,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co fga sbn,1
266,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co gfwae pcs,1
302,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co h vq jvcky,3
265,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co hf b gtof,0
255,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co ijknuobwaq,0
271,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co mjju bijuz,0
288,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co mw paxp te,4
295,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co nk gpcoqwe,2
274,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co osjtsysil,0
305,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co uvojknfsha,2
285,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co w ptvyexpf,2
296,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co zklxg rwnn,2
88,any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities learn more in sdc panel on floods in pakistan organized by and details https t co zklxg s dl,1
1453,arch-rivals virgin atlantic and british airways are to hold a charity football match on friday evening november to raise money for families affected by the floods in pakistan https t co mgxffmz d,0
491,are the floods in pakistan a new phenomena,4
602,are these floods the result of deforestation in pakistan in a third of the country was forest today it is only,0
1092,are we going to give saharan countries climate reparations for their countries changing from savanna to desert pakistan has always had devastating floods since becoming a country in https t co dcifwdr https t co at vt c vs,2
1193,article doesn t really explain how enso causes floods in pakistan would have thought the indian ocean dipole was the usual suspect,0
946,as cop meets pakistan s flood victims confront a health crisis https t co lvye bktcl,0
1111,as example pakistan and india seem to pretend someone else pollutes the most by presenting fake data they suffered from horrible floods and point at the west for it but when you look at nasa firms in may you see weeks of burning vegetation with smog causing it https t co ogzc vebxx,0
450,as it copes with the aftermath of catastrophic floods pakistan s growth in fy has been downgraded from in june to more in the s latest southasia economic update https t co ccxzhmqi c copingwithshocks https t co lumqaumqc,3
1237,as negotiators struggle to finalize conclusions from cop is responding to climate related floods in pakistan and droughts in somalia lossanddamage and human suffering is there our appeal stick to degree target and put words to actions,8
1227,as pakistan drowns amidst climate inaction wasfa a young illustrator shares her feelings through her art floods have broken our hearts homes and health she says v cop https t co sehv bkyqd,33
1412,as pakistan drowns in climate inaction wasfa a young illustrator shares her feelings through her art floods have broken our hearts homes and health she says https t co bw vblki f,3
630,as the real aftermath of floods is emerging ir and are working together in synergy for post-disaster recovery of the affected population with joint efforts we will be scaling up our response to rebuild infrastructure prior to extreme winters rebuildandrestore https t co ofcjabznny,28
681,as the world turns and news media moves on to the next story support begins to dwindle imana remains committed to continuing to support the people of pakistan but they can t do it without your support donate now https t co ax edhgkzg pakistanfloods https t co uxhm kcpbm,1
495,as we reflect on the outcomes of cop it is important to ground our understanding in people s lived experiences writes https t co hniaczc bh,5
275,as we reflect on the outcomes of cop it is important to ground our understanding in people s lived experiences writes https t co hniaczcgqp,7
812,as we reflect on the outcomes of cop it is important to ground our understanding in people s lived experiences writes https t co hniacztjsp,2
1148,astonishingly india pakistan bangladesh were all susceptible to floods cyclones in the seventies when we were told the planet was on the very cusp of the new ice-age,2
574,at independence pakistan c forested now c forests systematically plundered flood plains built upon no mitigation works to deforested land monsoons normal effects exacerbated in europe green dogma dumps age old river management to prevent flooding result floods,0
634,aus is a land of fire and floods greatest bushfire pakistan is a basket case state where population has increased x and they ve deforested their land without building infrastructure oh and monsoon in monsoon season isn t climate change https t co rajkxwmtmk,0
1460,australia is supporting women and girls affected by the floods in pakistan through mobile medical camps and awareness sessions we are committed to protecting lives dignity and access to reproductive health for women and girls in emergencies https t co l yqsp m w,42
896,azaad is one of millions of children who lost their school to pakistanfloods on worldchildrensday he showed us the temporary learning center which and partners established in his village so he and his friends can resume learning and play foreverychild https t co jhc obyz,359
1338,bai ghairat indeed the first ever pm of pakistan being reprimanded for theft of money intended for victims of floods i totally agree should have used some of what he is having mixed in people s food leading to cardiac arrest and not living sharam deficient,1
24,balochistan had the highest percentage of its population affected by the catastrophic floods that swamped significant portions of pakistan last summer at around https t co sh smolbvo,0
945,bbc already admit this they reported falsely about that a couple weeks ago https t co k er quxk,5
353,because they were not given due rights they were not given the adequate relief for the floods of and lack of infrastructure in east pakistan but a new city build for being a capital islamabad near rwp by military dictator and so on and on and on,0
1290,before floods hit pakistan had planned to establish a girl s school in tirah and we already received the land for it donated by one of the amazing volunteers janbaz sb working for his community as his passion we r in process of registering as npo,66
823,before the visit fm had repeatedly highlighted the damage the flash floods caused to pakistan this is because it has become impossible for the country to get back on its feet after facing a loss of billion bbzleadingclimatejustice https t co pan uusbr,66
476,benazir has never been to school her house was destroyed by pakistanfloods and she now lives in a tent for the first time in her life she is studying at a temporary learning center established by and partners she has even made new friends foreverychild https t co ui cxjc rh,87
1265,benazir income support program will soon launch dynamic survey to register more deserving families affected recently by devastating floods https t co gxd t s a,0
1029,bibi what do you know abt economics with floods in nearly half of pakistan esp in cotton season how dyou expect crops to survive in turn be exported with usd hike in ur gov how do you expect machinery imports to grow economy to function please understand pti was a disaster,0
973,big win for bilawal s climate diplomacy the foreign mister said that having experienced first-hand scale and devastation of pakistan floods they traveled to the united nations general assembly to advocate for climate justice https t co zlmqhiyhfm,4
1165,britain allegedly is culpable for c of the what is referred to as the world s climate change so if a nation s taxpayers have to foot the bill for the clear up of the recent pakistan floods and other climate disasters when the cost is calculated britain pays of it,2
1228,bruh even if there was a god he clearly doesn t care pakistan got destroyed by floods so many diseases earthquakes born disabilities murders rapes he can stop it all but doesn t if i was a god i would do so much of a better job at creating humans lmao weak engineering,1
431,but i guess you think the floods in pakistan were caused by climate change priceless,0
455,but in the case of the pakistan indus basin floods the year on year floods corruption and neglect check out the asi development bank paper from that spells it all out in great detail https t co vuugsrocty,0
832,but we did fail them pakistan is not included in the list of countries that will get compensatory support and the failure to include oil and gas means that we will not stabilise temperature rise and pakistan will face ever increasing floods as rains increase across its north,0
975,by the numbers billion estimated losses rebuilding costs that pakistan was left with after the catastrophic floods it experienced this year many developing nations have pointed to this as an example of what poorer countries have to increasingly contend with,2
1088,by the way this valuable advice comes from a person who presented a statistic dashboard to the country s prime mister on pakistan s worst floods in its history yes i said it right a static dashboard on the impact of floods and the relief efforts,1
1266,can we get reparations from the rest of the civilised world for these floods it seems only fair now that we have to pay pakistan for the cycle of monsoons it has regularly had for the last recorded years,1
1314,can you dial up the absurdity any further decades of deforestation in the indus valley is the main cause of pakistan s extreme flooding it s been happening for years https t co yxsyuljuig,0
933,chairman collected a huge sun of rs billion in just one hour during the un s flash appeal for the affectees of the pakistan floods bbzleadingclimatejustice https t co hyrfbllxs,0
954,chairman collected a huge sun of rs billion in just one hour during the un s flash appeal for the affectees of the pakistan floods the young leader is using leading new outlets to launch global awareness for climate justice bbzleadingclimatejustice https t co mb uaqlgf,67
1075,chairman collected a huge sun of rs billion in just one hour during the un s flash appeal for the affectees of the pakistan floods the young leader is using leading new outlets to launch global awareness for climate justice bbzleadingclimatejustice https t co p eewt ci,94
583,chairman ndma lauds relief efforts by during recent floods in pakistan https t co ojkpan eri https t co mzporrvsfc,7
1498,chairman ndma us delegation discuss post floods damages management in pakistan https t co o uovyifjm,2
1312,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co cl z rupbg,1
356,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co e cmmyyceb,0
775,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co ejiye lp k,1
169,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co gyujnljyc,0
1038,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co jtohnc tn,1
570,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co mqsi boe d,1
29,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co xrftef ida,0
516,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co xzznyzj,1
1212,check out my run on aid refugees asylum famine malnutrition afghanistan crisis humanity ukraine floods pakistan https t co yxug gowbr,2
338,chilling i assume most of the inhabitants of eugowra aren t aware of the scale of floods in pakistan nigeria in recent months in any real sense maybe they will be sensitized to the toll going forward lean towards drastic emissions reductions as well as preparedness bets,1
1196,china made an unfortunate contribution to poorer countries dealing with climate change pakistan devastated by extreme floods has opened coal-fired power plants recently built as part of the china-pakistan economic corridor https t co yk hntaa f cop,0
250,climate change deniers want to maintain the white supremacist patriarchy nov ewe pakistan pakistan floods millions of women suffering worst health impacts amid unhygienic conditions https t co rsw yrc as,0
396,climate change gareth m flooded in of pakistan this year australia canada usa europe asia floods wildfires droughts storms horn of africa m in famine every unnecessary emission every destroyed greenfield is accelerating it all our futures are increasingly doubtful https t co pdfueu tcs,0
368,climate change in the form of disastrous floods in pakistan affecting million people has already increased the rates of multidimensional poverty in the country innocent flood survivors are forced to pay the price of climate change even though they did not cause it,0
347,climate change is causing pakistan to suffer from polar extremities of harsh weather as many districts experienced droughts and floods within a span of a few months,0
1141,climate change mister of pakistan where suffering in record floods in september became emblematic of the devastation developing countries are facing hailed the historic loss and damage deal to applause in the conference hall https t co uiic norm,2
572,climate denial bringing down economy nov ewe pakistan rice exporters fear big drop in shipments after floods https t co v cd ig x,0
91,climate-security nexus in balochistan https t co zucnap mpm via tdi tdiasia climatechange balochistan pakistan humansecurity floods climatecrisis,0
899,climatejustice must take a tangible shape this harks to conversations had at conversationsforchange baice we couldn t fail them how pakistan s floods spurred fight at cop for loss and damage fund pakistanfloods https t co ppjbszpmm,1
1306,co didn t cause floods in pakistan not now now all the other times a natural flood plain floods,1
800,compare and contrast we couldn t fail them how pakistan s floods spurred fight at cop for loss and damage fund via https t co yskd tl oo,0
555,compare this luxury ship cost with the help pakistan people victim from the recent floods could have to resolve their problems it is the pacific ocean comparing to a molecule of water h o please be mindful,0
160,cop in many ways was a turning point in dealing with the consequences of climatechange but not the cause s spoke to about securing the lossanddamagefund but failed efforts to reduce co phase out fossil fuels https t co bfcfrin ou,7
216,cop in many ways was a turning point in dealing with the consequences of climatechange but not the cause s spoke to about securing the lossanddamagefund but failed efforts to reduce co phase out fossil fuels https t co bfcfrj ccc,4
194,cop in many ways was a turning point in dealing with the consequences of climatechange but not the cause s spoke to about securing the lossanddamagefund but failed efforts to reduce co phase out fossil fuels https t co bfcfrj en,2
215,cop in many ways was a turning point in dealing with the consequences of climatechange but not the cause s spoke to about securing the lossanddamagefund but failed efforts to reduce co phase out fossil fuels https t co nguta jnuh,2
1140,cop number what ever it is pakistan wanting this and that because of their floods how about someone points out to them that cutting all your trees down will have consequences,0
319,corruptpakleaders cannot simply pin the blame on covid or pakistanfloods for the lack of efforts to provide for pakistani children ii reformpakistan https t co juwbxhxpi,0
1054,could pakistan floods be due to deforestation,0
936,cuckoo bullshit pakistan floods every year but it never gets clean,0
392,dear greta visit pakistan and witness the flash floods impact on lives livelihood of affected communities infrastructure how they r coping to challenge of harsh winter and malaria cop lossanddamagefund,1
342,despite the devastation brought on by the floods the severely affected baloch people had no access to food water or tents pakistan has since then cut off mobile service balochistanfloods balochgenocide https t co cpupd p kw,0
352,despite the devastation brought on by the floods the severely affected baloch people had no access to food water or tents pakistan has since then cut off mobile service balochistanfloods balochgenocide https t co f bdnl f,0
483,despite the devastation brought on by the floods the severely affected baloch people had no access to food water or tents pakistan has since then cut off mobile service balochistanfloods balochgenocide https t co iriqgtdeif,0
415,despite the devastation brought on by the floods the severely affected baloch people had no access to food water or tents pakistan has since then cut off mobile service balochistanfloods balochgenocide https t co stcookna j,0
420,despite the devastation brought on by the floods the severely affected baloch people had no access to food water or tents pakistan has since then cut off mobile service balochistanfloods balochgenocide https t co x zj i cj,0
478,despite the devastation brought on by the floods the severely affected baloch people had no access to food water or tents pakistan has since then cut off mobile service balochistanfloods balochgenocide https t co yfh agido,0
480,despite the fact that almost one-third of pakistan s territory was submerged during unprecedented flooding that ludicrous claim has been comprehensively debunked even the bbc rowed-back from their original claim https t co n xhcsb ib https t co asihbqv ov,3
1282,devastating floods in pakistan https t co ate ch fgv despite unicef delivering clean water many families have had no alternative but to drink disease-ridden water they are now bearing the brunt of deadly water-borne diseases apeal floodsinpakistan,1
207,developed countries tried their best to vide conquer said pakistan chair of g china played a significant role in keeping the group united i m friends with some of them so i know how hard it was their pivotal role https t co t twpd c https t co fxgp rt a,2
176,developing countries at cop secured a lossanddamagefund for people suffering the impacts of climatechange s explains how pakistan recently ravaged by unprecedented floods led the way in getting that commitment to climate justice https t co t twpd c,1
1366,did not know they had waburtons in pakistan who have destroyed of the forest cover in the last years leading to increased run-off and floods fuck all to do with us industrial revolution but everything to do with climatescam,0
1275,did you forget about your floods in pakistan,2
1188,didn t know that warburton s had delivery trucks in pakistan indus is a massive floodplain look at a map caused over thousands of years by nature a natural flood plain that floods regularly,0
608,disaster aid uk ireland are still working in conjunction with our overseas partners to provide aid to those suffering as a result of the floods in pakistan to donate find out more please follow this link https t co vqd p l h https t co nwj cxjmic,2
526,disasters due to climate change have domino effect e g in pakistan floods have destroyed crops eventually food disaster threat dr imran saqib in fassconf https t co kixahjhjhr,10
601,dm rgan schools i ve just put together a nice wee task for th form pupils using remote sensed data from other gis resources to explore the nature and impacts of the floods in pakistan if that s any use to you https t co y l cucy,7
240,do u know what afghanistan is pakistan is worse than that their army chief retired this month with billions of dollars in bank of country under water coz of floods of pak is baluchistan ind country s illegally occupied indian territory what remains,0
1399,do you want to go down in history as the person representing the country that blocked a degree declaration it s abhorrent are the stories from pakistan barbados maldives not enough the floods and storms in canada,1
990,don t forget he s also responsible for the war in ukraine the floods in pakistan the fires in california the hurricanes inflation and the nail i got in my tire last week,1
1183,don t miss founder of on the ourhenhouse podcast he joins co-hosts and to discuss the disaster relief work he s spearheading for humans and animals following the pakistan floods listen to ep https t co ff az dqhh https t co el otdo fl,3
1184,don t miss founder of on the ourhenhouse podcast he joins co-hosts and to discuss the disaster relief work he s spearheading for humans and animals following the pakistan floods listen to ep https t co n p vgt https t co vtlx lr ek,1
1200,don t miss founder of on the ourhenhouse podcast he joins co-hosts and to discuss the disaster relief work he s spearheading for humans and animals following the pakistan floods listen to ep https t co wlfv qtosh https t co pgxz qfy,5
